Feature,Mean,Std,Class
MFCC 3,0.07681942328800595,0.02306094741610161,artifact
MFCC 4,0.06392292718520463,0.04955978054105231,artifact
MFCC 5,-0.03906985962244492,0.07057176499416005,artifact
MFCC 6,0.05683638747765566,0.050050012767461884,artifact
MFCC 7,0.045476851242885315,0.06036691536007201,artifact
MFCC 8,-0.015948332099957233,0.059691842384725795,artifact
MFCC 9,-0.021078745869666207,0.07208513876779435,artifact
MFCC 10,0.024392539879121287,0.06034473955752893,artifact
MFCC 11,0.0290268703741439,0.0424927799416959,artifact
MFCC 12,-0.00026486713603204794,0.007560524972946195,artifact
MFCC 13,-0.002431550157959395,0.020757310217125326,artifact
MFCC 14,-0.015073426636951208,0.04798463958590847,artifact
MFCC 15,-0.02332342395256859,0.05744354557473426,artifact
MFCC 16,-0.003483788583125772,0.026247415813581552,artifact
MFCC 17,-0.0029903576341492695,0.022011439255238976,artifact
MFCC 18,0.0016494230986347934,0.018132242659281258,artifact
MFCC 19,-0.007834639889184637,0.0457985978638928,artifact
MFCC 20,-0.003618396189864355,0.02207605383733132,artifact
MFCC 21,0.0027996688210551375,0.025506351046747925,artifact
MFCC 22,0.0020167606647579655,0.012151065028807464,artifact
MFCC 23,0.00022862304184693305,0.005257642065160559,artifact
MFCC 24,0.053521294277656464,0.04162795962934498,artifact
MFCC 25,0.05810860531760943,0.03891559433544449,artifact
MFCC 26,2.6719217721148493e-05,0.000732879943917038,artifact
MFCC 27,-0.0008160572989706804,0.0008023811630251562,artifact
MFCC 28,0.061694328853767716,0.03902835356064276,artifact
MFCC 29,-0.001652581392675026,0.012867642154228297,artifact
MFCC 30,0.010788077404508085,0.029468932100096445,artifact
Chroma 1,0.0001260135475423163,0.0003335427304016973,artifact
Chroma 2,-0.0002504025081954344,0.00048139910937277,artifact
Chroma 3,-1.0021040379601943e-05,0.00043447431332575343,artifact
Chroma 4,3.49597658698384e-05,0.00043932862677865427,artifact
Chroma 5,0.00016166174232250884,0.00028455959869887665,artifact
Chroma 6,2.5720325230569775e-05,0.00044684220265448204,artifact
Chroma 7,0.00032597367714210803,0.00033123165634219064,artifact
Chroma 8,0.00015636135732832824,0.00028133263220081836,artifact
Chroma 9,0.000206787480974139,0.0003445055396027103,artifact
Chroma 10,0.00018153818605068616,0.0002955024055014692,artifact
Chroma 11,2.2526636225267627e-05,0.00012007302460418084,artifact
Chroma 12,-0.00011460012087024785,0.0003759768489657442,artifact
ZCR 22,0.00011205409337086602,0.0005598989527891633,artifact
MFCC 3,-0.08645785207398762,0.10053384868537603,extrahls
MFCC 4,0.005616631114474326,0.04532536977050604,extrahls
MFCC 5,0.0236538304545535,0.013566478154438018,extrahls
MFCC 6,0.0022988302510811337,0.011464050152200115,extrahls
MFCC 7,0.013649765973737077,0.012106914213626176,extrahls
MFCC 8,-0.03326630999047407,0.08681430704173745,extrahls
MFCC 9,0.03696756381337045,0.03857676444862765,extrahls
MFCC 10,0.007154125796339388,0.009910905616425504,extrahls
MFCC 11,0.012385618941681258,0.01018252827833982,extrahls
MFCC 12,0.013403913439174875,0.007775957733033843,extrahls
MFCC 13,0.013409384164222903,0.009519480876782713,extrahls
MFCC 14,0.006554303950319153,0.010449500940632022,extrahls
MFCC 15,0.01323153546027575,0.020467614014544253,extrahls
MFCC 16,0.008674979354164577,0.017196866998171814,extrahls
MFCC 17,-0.005358504398826973,0.006554597396552993,extrahls
MFCC 18,-0.0004859237536656789,0.007992023423609483,extrahls
MFCC 19,-0.007892537806911605,0.038226193360055,extrahls
MFCC 20,0.0018387096774193689,0.0079462649983552,extrahls
MFCC 21,0.002552199413489751,0.008579346867903277,extrahls
MFCC 22,-0.004681818181818178,0.005593125946305841,extrahls
MFCC 23,0.00843695014662759,0.00871697907746588,extrahls
MFCC 24,-0.018345099476740827,0.05473236780060608,extrahls
MFCC 25,-0.005246679316888037,0.007689786975192872,extrahls
MFCC 26,-0.0004208211143694882,0.008393180252748017,extrahls
MFCC 27,0.012688123167155455,0.008601423992217113,extrahls
MFCC 28,-0.004386803519061575,0.007546256133388596,extrahls
MFCC 29,0.0006048387096774215,0.0026364308126254174,extrahls
MFCC 30,-0.0058255131964809305,0.0068570959320916084,extrahls
Chroma 1,0.0,0.0,extrahls
Chroma 2,0.0,0.0,extrahls
Chroma 3,0.0,0.0,extrahls
Chroma 4,0.0,0.0,extrahls
Chroma 5,0.0,0.0,extrahls
Chroma 6,0.0,0.0,extrahls
Chroma 7,0.0,0.0,extrahls
Chroma 8,0.0,0.0,extrahls
Chroma 9,0.0,0.0,extrahls
Chroma 10,0.0,0.0,extrahls
Chroma 11,0.0,0.0,extrahls
Chroma 12,0.0,0.0,extrahls
ZCR 22,0.0,0.0,extrahls
MFCC 3,0.03568349468860603,0.031821378310377756,murmur
MFCC 4,0.029878723847668844,0.018732755957089255,murmur
MFCC 5,0.03655403942336728,0.025482487471882847,murmur
MFCC 6,0.03857658162392363,0.025415315871740056,murmur
MFCC 7,0.05590456673304918,0.007284046681267506,murmur
MFCC 8,0.013363046257475994,0.02115963371092827,murmur
MFCC 9,0.013882854341209725,0.018905852461141633,murmur
MFCC 10,0.008771162901931204,0.01581856923496393,murmur
MFCC 11,0.03344671126548073,0.025091354163310955,murmur
MFCC 12,0.03626724700723375,0.023891795938890327,murmur
MFCC 13,0.018785006988541054,0.027426750643825028,murmur
MFCC 14,0.020237451537412597,0.0322047234720392,murmur
MFCC 15,0.030897016652360627,0.028361926028597002,murmur
MFCC 16,0.02289640476932852,0.031336283015952364,murmur
MFCC 17,0.005684236548314834,0.03930852047098422,murmur
MFCC 18,0.012087575780272815,0.024722925888802,murmur
MFCC 19,0.01131049085919093,0.01794125076278749,murmur
MFCC 20,0.042061757606818385,0.012694305923597061,murmur
MFCC 21,0.02440266808465905,0.022019687764530393,murmur
MFCC 22,0.0186589805292832,0.02141817103077688,murmur
MFCC 23,0.0073562172005777636,0.015717834574800898,murmur
MFCC 24,0.03101997681746974,0.02864462378645031,murmur
MFCC 25,0.017363413885846776,0.033655983617964486,murmur
MFCC 26,0.025825994394124287,0.023071996242916875,murmur
MFCC 27,-0.01080938877331728,0.04193553316829421,murmur
MFCC 28,-0.016235963919937705,0.03996844947949652,murmur
MFCC 29,0.007707852020045321,0.031941097437130236,murmur
MFCC 30,0.02582909071240731,0.021521368622818116,murmur
Chroma 1,0.0023037029786414118,0.007453120505296067,murmur
Chroma 2,0.0007837731302312241,0.0004624518075970753,murmur
Chroma 3,0.0014272873540841402,0.008340853867872986,murmur
Chroma 4,0.0038654853292862563,0.012226904732602899,murmur
Chroma 5,0.004678747614042335,0.012457892418013719,murmur
Chroma 6,0.0011315739289503568,0.0006151274480013684,murmur
Chroma 7,0.000938203233788623,0.0004387320575933273,murmur
Chroma 8,1.2497457333937589e-05,0.0004701573296290582,murmur
Chroma 9,0.005219835250659624,0.014054427487746277,murmur
Chroma 10,0.00824756225212724,0.017066120099476296,murmur
Chroma 11,-2.6346794707865106e-05,0.0005255633804147885,murmur
Chroma 12,0.0008254000122481619,0.0003764123057027758,murmur
ZCR 22,0.0006542296954666634,0.0004481192938428387,murmur
MFCC 3,0.011903104294755046,0.0027836488253709974,normal
MFCC 4,-0.02126575411647275,0.023416333216660125,normal
MFCC 5,0.0055021301041829175,0.0012580125786939979,normal
MFCC 6,-0.0056522889401657535,0.016958107492834173,normal
MFCC 7,0.001144671190664719,0.0009329983461130802,normal
MFCC 8,-0.038640512989686814,0.014877462615850112,normal
MFCC 9,-0.0019389928830669256,0.014378431196136056,normal
MFCC 10,-0.031616777099968775,0.021055876860322724,normal
MFCC 11,-0.0001937709715665477,0.0031394806891833042,normal
MFCC 12,0.0004968758527772673,0.002308092734871701,normal
MFCC 13,-0.0001518195233879179,0.0007462519382605129,normal
MFCC 14,-0.0020604772274509958,0.010882167427777326,normal
MFCC 15,-0.0009897568662339544,0.008717018093421989,normal
MFCC 16,0.0020022573984189327,0.0009565079686206492,normal
MFCC 17,0.00011341475590546285,0.006402622063433707,normal
MFCC 18,-0.004208636167051909,0.015485753833918103,normal
MFCC 19,-0.000557476938956913,0.0060968278917003,normal
MFCC 20,-0.0007238588174308442,0.0006690898072740757,normal
MFCC 21,0.0005099742771517765,0.0006574558481942426,normal
MFCC 22,-0.0007246783048380916,0.0005263698185724634,normal
MFCC 23,-0.00018316998945133543,0.0006761796116064581,normal
MFCC 24,0.0003357499449116978,0.0008207897252037237,normal
MFCC 25,0.0006311678578466768,0.0006741462149973796,normal
MFCC 26,0.0007037881285623205,0.0006759918439215734,normal
MFCC 27,0.0010714761460385185,0.0007624091007489657,normal
MFCC 28,0.0009019808029513129,0.0007220412198716633,normal
MFCC 29,0.00032281315083452984,0.0005986522121004789,normal
MFCC 30,0.0003073387390295365,0.000555314607931336,normal
Chroma 1,-6.852030777297142e-05,0.00027079446863423676,normal
Chroma 2,-0.0002915728601945983,0.0002934083797451063,normal
Chroma 3,-0.0003608919059352802,0.00025572247116448455,normal
Chroma 4,3.186895122927247e-05,0.000289112893347395,normal
Chroma 5,0.00021968121642977962,0.00024598654388236364,normal
Chroma 6,1.9105294570976872e-06,0.00024308724087490004,normal
Chroma 7,-0.00011148685713718986,0.00020606095833982358,normal
Chroma 8,-2.801560189378527e-05,0.00019875948622404793,normal
Chroma 9,-0.00010602254157662244,0.00022782675849364464,normal
Chroma 10,2.0824747241134365e-06,0.0003080879947012841,normal
Chroma 11,-0.00020629032765658928,0.00019844176276120074,normal
Chroma 12,-5.72770326729457e-05,0.00020913327081142357,normal
ZCR 22,-3.1257790804589736e-05,0.00020482304054548863,normal
MFCC 3,0.06404096370409762,0.01702829212386357,extrastole
MFCC 4,0.029916599716699348,0.0230169181049593,extrastole
MFCC 5,0.034629470326901335,0.01808972884766233,extrastole
MFCC 6,-0.009225839680971223,0.04682003378147237,extrastole
MFCC 7,0.018612083119516065,0.024559288217483263,extrastole
MFCC 8,0.007984759088628704,0.0116965755615846,extrastole
MFCC 9,0.025711756759169358,0.014774388868706462,extrastole
MFCC 10,0.012684664270812426,0.01944423886045809,extrastole
MFCC 11,0.016070122635644543,0.02171034421559673,extrastole
MFCC 12,0.007718716087515847,0.030462327956227653,extrastole
MFCC 13,0.011590260468308692,0.015970157949086218,extrastole
MFCC 14,0.017489332917429243,0.008845045714976733,extrastole
MFCC 15,0.015111706710220777,0.04297617523612687,extrastole
MFCC 16,0.00401729821583171,0.017705359845341582,extrastole
MFCC 17,0.004908000908530608,0.04022867235230741,extrastole
MFCC 18,-0.00038546775581600957,0.043027671260662134,extrastole
MFCC 19,-0.006296506152006884,0.04123551119273659,extrastole
MFCC 20,0.007664061511503057,0.028583914102750706,extrastole
MFCC 21,-0.03468443119776864,0.055046963785104194,extrastole
MFCC 22,0.007095415373113753,0.005924030483520894,extrastole
MFCC 23,0.016147776631365716,0.024410519535940648,extrastole
MFCC 24,0.003105439079348282,0.0365629154910218,extrastole
MFCC 25,-0.0021617999946346314,0.03825067076538679,extrastole
MFCC 26,0.004025062421979782,0.015050860062537093,extrastole
MFCC 27,0.005950002915062827,0.007750178336358812,extrastole
MFCC 28,0.006469549360755367,0.01728836463043843,extrastole
MFCC 29,0.006666222186012025,0.007104176806404759,extrastole
MFCC 30,-0.01853554907527355,0.04179291698214923,extrastole
Chroma 1,0.0002384823848238483,0.0011116265576840564,extrastole
Chroma 2,0.0,0.0,extrastole
Chroma 3,-0.00020739870049303044,0.0017063077106152925,extrastole
Chroma 4,0.0,0.0,extrastole
Chroma 5,0.0,0.0,extrastole
Chroma 6,0.0,0.0,extrastole
Chroma 7,0.0,0.0,extrastole
Chroma 8,0.0,0.0,extrastole
Chroma 9,0.0,0.0,extrastole
Chroma 10,-0.00023273582133411785,0.0010848403755711912,extrastole
Chroma 11,0.0,0.0,extrastole
Chroma 12,0.0,0.0,extrastole
ZCR 22,0.0,0.0,extrastole
