,Test Acc,Macro F1,Balanced Accuracy,MCC
XGBoost,0.8370901639344263,0.7117705885354253,0.6916235764811048,0.7669711321673985
CatBoost,0.8514344262295082,0.7428930056698368,0.7287606180353821,0.7879027169611421
LightGBM,0.8411885245901639,0.725802881787488,0.6973704348464171,0.7729638295159417
MLP_Basic,0.8299180327868853,0.7763363437379704,0.7744259268583703,0.7538942926238532
MLP_Ultra,0.8668032786885246,0.8138848039926281,0.8001709006921386,0.8076130256539263
MLP_Large,0.8432377049180327,0.7640582905711246,0.7602446188705949,0.7733862411212563
MLP_Small,0.8165983606557377,0.7215312598298718,0.7076734709210896,0.7341182878746847
MLP_Tiny,0.7971311475409836,0.6828867677120289,0.6711165807891207,0.7060020907230334
MLP_Reverse,0.819672131147541,0.7319947607467824,0.7426058181035492,0.7393137789282779
MLP_Bottleneck,0.8586065573770492,0.7635521597478846,0.7527042501512066,0.7951058106127332
MLP_Rollercoaster,0.8432377049180327,0.7671143924568582,0.7730347338233361,0.77403743152684
MLP_Hourglass,0.8493852459016393,0.7254920074447073,0.6882918283617355,0.7807979369724956
MLP_Pyramid,0.8545081967213115,0.7805929579000045,0.785699551338732,0.7897418979290635
MLP_Wide,0.8452868852459017,0.7596797836213857,0.7570447300834449,0.7753611248451392
MLP_WideUltra,0.8381147540983607,0.7353474414965901,0.7119498135850698,0.7661106201374933
MLP_Sparse,0.8176229508196722,0.6395844196656246,0.6539126986962317,0.7343655938444795
MLP_Dropout,0.8186475409836066,0.7030248687787136,0.6957294460912464,0.736520618623834
MLP_Ensemble1,0.8596311475409836,0.7970634361250942,0.791350796152317,0.7967010469200869
MLP_Ensemble2,0.8719262295081968,0.8157612768037321,0.7923130337729087,0.8152797872155745
MLP_Ensemble3,0.8504098360655737,0.7778093604249833,0.7696265048008639,0.7834124192787165
MLP_Ensemble4,0.8627049180327869,0.7825342306351504,0.7742846343455476,0.8011740548688918
MLP_Ensemble5,0.8790983606557377,0.8061150189248277,0.7963427182898994,0.825204433800999
MLP_Ensemble6,0.8688524590163934,0.7964753052479733,0.7772296816898427,0.8097517076142118
ALL Ensemble,0.875,0.8087734253917578,0.7863459317447298,0.8189818365429347
CatBoost_ALL_Ensemble,0.8790983606557377,0.7961614247451698,0.765194953695015,0.8248264741046432
