,Model,F1 (Macro),Balanced Accuracy (Macro),FPR,TPR
0,Random Forest,0.8472827237518835,0.8452300004432333,0.008695652173913044,0.16708229426433915
1,XGBoost,0.8503709128709431,0.847609331833897,0.010434782608695653,0.35910224438902744
2,MLP,0.8597401140182473,0.8582380920286158,0.010434782608695653,0.256857855361596
3,CatBoost,0.8659934438901012,0.8650058483623306,0.010434782608695653,0.29925187032418954
4,MLP_Ultra,0.8837035692970003,0.8845206213731104,0.010434782608695653,0.34413965087281795
5,MLP_rollercoaster,0.8819051593240036,0.8782256944998824,0.010434782608695653,0.3167082294264339
6,MLP_Ensemble2,0.8874301878812615,0.8880863429618125,0.010434782608695653,0.3640897755610973
7,MLP_Ensemble4,0.8891236289464524,0.8876562422365636,0.008695652173913044,0.2817955112219451
8,MLP_WideUltra,0.8732508709928064,0.8780685315692734,0.010434782608695653,0.38403990024937656
9,MLP_Bottleneck,0.8679203217028711,0.8666854624350125,0.010434782608695653,0.26683291770573564
