iter	MultiClass
0	1.573414881
1	1.549242409
2	1.519167981
3	1.496431327
4	1.479074293
5	1.455608818
6	1.436494727
7	1.425352266
8	1.408251818
9	1.395602462
10	1.383636762
11	1.373068029
12	1.355267123
13	1.344125143
14	1.33315406
15	1.324719827
16	1.316222393
17	1.31173914
18	1.303069207
19	1.291557275
20	1.277557053
21	1.261691611
22	1.25049412
23	1.243430687
24	1.232843146
25	1.226537347
26	1.211230646
27	1.200581191
28	1.191536683
29	1.183457074
30	1.173834507
31	1.166875468
32	1.161781061
33	1.158501399
34	1.150351826
35	1.139919262
36	1.133457318
37	1.126530362
38	1.117544624
39	1.110906706
40	1.103277484
41	1.094933843
42	1.087070494
43	1.082296932
44	1.076877974
45	1.072546001
46	1.065755626
47	1.059962151
48	1.052881946
49	1.048983606
50	1.043569622
51	1.039527204
52	1.034357556
53	1.030780432
54	1.026568101
55	1.023655248
56	1.020160936
57	1.016231205
58	1.010722979
59	1.005448207
60	1.000207623
61	0.9969517159
62	0.9944734726
63	0.9915992302
64	0.9863183178
65	0.9822749104
66	0.9791224104
67	0.9760323212
68	0.9725082907
69	0.9692513269
70	0.9666549698
71	0.963296488
72	0.9597063024
73	0.9571129117
74	0.952422154
75	0.9482184422
76	0.9442951273
77	0.9390473642
78	0.9348324764
79	0.9288196051
80	0.9231097219
81	0.9190165149
82	0.9152668174
83	0.9117424819
84	0.9082845797
85	0.9052832445
86	0.9017977981
87	0.900327049
88	0.8963590972
89	0.8932034063
90	0.8915219615
91	0.887518752
92	0.883807222
93	0.8798053698
94	0.8768953343
95	0.8720700101
96	0.8681376703
97	0.8650128109
98	0.8614850354
99	0.8591132956
