iter	Passed	Remaining
0	6	656
1	14	699
2	16	548
3	19	472
4	22	423
5	25	395
6	27	371
7	30	351
8	33	339
9	36	326
10	39	316
11	41	306
12	44	299
13	47	293
14	50	286
15	53	282
16	56	277
17	60	273
18	62	267
19	65	262
20	68	256
21	70	251
22	73	247
23	76	241
24	79	237
25	82	233
26	84	229
27	87	224
28	90	220
29	92	216
30	95	213
31	98	209
32	101	205
33	104	202
34	107	199
35	110	196
36	113	192
37	115	188
38	118	185
39	121	182
40	124	178
41	127	175
42	130	172
43	133	169
44	136	166
45	139	163
46	143	161
47	145	158
48	149	155
49	152	152
50	154	148
51	157	145
52	160	142
53	163	139
54	166	136
55	169	132
56	172	129
57	174	126
58	177	123
59	180	120
60	183	117
61	186	114
62	189	111
63	192	108
64	194	104
65	197	101
66	200	98
67	203	95
68	206	92
69	210	90
70	213	87
71	217	84
72	220	81
73	223	78
74	226	75
75	234	74
76	237	71
77	240	67
78	243	64
79	246	61
80	248	58
81	252	55
82	255	52
83	258	49
84	260	46
85	263	42
86	266	39
87	269	36
88	272	33
89	274	30
90	277	27
91	280	24
92	283	21
93	287	18
94	290	15
95	292	12
96	296	9
97	299	6
98	301	3
99	304	0
