iter	Passed	Remaining
0	217	217650
1	402	200753
2	579	192716
3	751	187050
4	926	184298
5	1105	183147
6	1291	183201
7	1475	182936
8	1666	183477
9	1841	182285
10	2057	185000
11	2282	187900
12	2491	189158
13	2722	191707
14	2931	192494
15	3117	191740
16	3331	192661
17	3505	191257
18	3692	190636
19	3870	189653
20	4068	189670
21	4265	189643
22	4589	194947
23	4885	198686
24	5139	200436
25	5416	202897
26	5679	204669
27	5868	203713
28	6043	202351
29	6220	201137
30	6411	200425
31	6584	199170
32	6743	197599
33	6924	196731
34	7111	196083
35	7282	195008
36	7462	194229
37	7636	193336
38	7817	192630
39	8005	192128
40	8173	191173
41	8335	190136
42	8519	189597
43	8689	188798
44	8865	188144
45	9030	187282
46	9205	186646
47	9369	185827
48	9551	185368
49	9728	184835
50	9917	184536
51	10164	185309
52	10355	185030
53	10525	184396
54	10693	183730
55	10857	183028
56	11026	182414
57	11211	182087
58	11390	181668
59	11563	181154
60	11730	180566
61	11908	180170
62	12085	179740
63	12250	179162
64	12424	178722
65	12590	178167
66	12756	177641
67	12941	177374
68	13117	176990
69	13282	176471
70	13458	176094
71	13621	175561
72	13791	175136
73	13950	174570
74	14117	174118
75	14278	173602
76	14466	173407
77	14637	173018
78	14795	172492
79	14966	172113
80	15135	171721
81	15311	171411
82	15490	171146
83	15669	170875
84	15841	170527
85	16019	170257
86	16193	169936
87	16355	169501
88	16516	169058
89	16690	168758
90	16886	168676
91	17093	168706
92	17282	168551
93	17461	168301
94	17660	168239
95	17865	168233
96	18063	168155
97	18257	168046
98	18465	168054
99	18701	168310
100	18935	168548
101	19204	169071
102	19402	168973
103	19601	168874
104	19911	169722
105	20057	169165
106	20187	168482
107	20314	167779
108	20448	167150
109	20557	166330
110	20687	165686
111	20794	164871
112	20909	164131
113	21018	163355
114	21127	162589
115	21258	162004
116	21370	161281
117	21483	160581
118	21593	159867
119	21725	159317
120	21903	159115
121	22049	158687
122	22221	158439
123	22364	157996
124	22522	157657
125	22652	157126
126	22795	156696
127	22924	156170
128	23077	155816
129	23188	155184
130	23316	154670
131	23426	154048
132	23539	153449
133	23667	152955
134	23796	152476
135	23910	151902
136	24030	151377
137	24163	150935
138	24322	150661
139	24446	150170
140	24559	149620
141	24674	149091
142	24807	148673
143	24939	148254
144	25067	147811
145	25188	147333
146	25303	146826
147	25452	146523
148	25561	145991
149	25672	145477
150	25785	144976
151	25896	144476
152	26039	144151
153	26152	143668
154	26262	143174
155	26420	142943
156	26536	142488
157	26690	142237
158	26820	141859
159	26950	141491
160	27107	141262
161	27294	141190
162	27495	141189
163	27666	141033
164	27868	141031
165	28055	140952
166	28195	140637
167	28304	140175
168	28414	139717
